,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Markquis Nowell",24,"TOR","SG",1,4,24.39376446,13.35522647,37.74899093,0.091901988,0.112477059,,,
"Hamidou Diallo",25,"WAS","SG",2,5,6.979881999,19.44664933,26.42653133,0.08303324,0.101622771,,,
"Henri Drell",23,"CHI","SF",1,3,23.40075325,1.965488424,25.36624168,0.047268747,0.057000548,,,
"Drew Peterson",24,"BOS","PF",1,3,25.81479504,-2.137756241,23.67703879,0.044792874,0.055651752,,,
"Adama Sanogo",21,"CHI","PF",4,12,13.33823386,6.084376502,19.42261036,0.148674038,0.179283398,,,
"Andrew Funk",24,"CHI","SG",2,3,-3.961114217,20.11517533,16.15406111,0.03161414,0.038122933,,,
"Ryan Rollins",21,"WAS","PG",10,66,2.659383642,8.647615803,11.30699944,0.522,0.639056596,,,
"Shai Gilgeous-Alexander",25,"OKC","PG",66,2274,7.604668376,1.733790478,9.338458854,15.34478959,18.78019025,,,
"Nikola Jokić",28,"DEN","C",65,2227,7.376493418,1.361588541,8.738081959,14.32869277,17.53660906,,,
"Mamadi Diakite",27,"SAS","PF",3,16,8.745450932,-0.012108599,8.733342332,0.102742156,0.125744131,,,
"Joel Embiid",29,"PHI","C",34,1157,7.387933601,0.530969549,7.91890315,6.888464879,8.430658509,,,
"Kawhi Leonard",32,"LAC","SF",60,2056,5.969219116,1.43968208,7.408901196,11.65656933,14.48240432,,,
"Giannis Antetokounmpo",29,"MIL","PF",64,2240,6.583361239,0.789553319,7.372914558,12.61454093,15.43869189,,,
"Donovan Mitchell",27,"CLE","SG",49,1732,4.821097015,1.65909093,6.480187945,8.839919687,10.81900618,,,
"Luka Dončić",24,"DAL","PG",58,2168,6.302582626,0.102488988,6.405071614,11.05742675,13.53297005,,,
"Taze Moore",25,"POR","SG",3,10,1.817691094,4.44829781,6.265988904,0.049585058,0.06068619,,,
"JD Davison",21,"BOS","SG",5,9,6.024440283,-0.452564892,5.571875391,0.041257799,0.051259689,,,
"Kyrie Irving",31,"DAL","SG",45,1539,5.28802702,-0.232273556,5.055753464,6.653241938,8.142773715,,,
"Jayson Tatum",25,"BOS","PF",63,2257,4.037045267,0.973113277,5.010158545,9.622018312,11.95462881,,,
"Jimmy Butler",34,"MIA","PF",47,1605,4.200445239,0.713457664,4.913902903,6.796703109,8.444388712,,,
"Derrick White",29,"BOS","SG",62,2003,2.794107916,2.088730768,4.882838684,8.393428162,10.42819863,,,
"Robert Covington",33,"PHI"," LAC","SF"," PF",29,488,0.062716723,4.637344797,4.70006152,2.004068311,2.460116481,
"Tyrese Haliburton",23,"IND","PG",55,1775,5.583803336,-0.911146624,4.672656712,7.270682575,8.767587811,,,
"Daishen Nix",21,"MIN","PG",12,39,-0.676161707,5.261914706,4.585752999,0.156823661,0.191933435,,,
"Anthony Edwards",22,"MIN","SG",64,2250,3.012467447,1.537170879,4.549638327,9.001076043,11.01624232,,,
"LeBron James",39,"LAL","PF",59,2077,4.377084495,0.162464603,4.539549098,8.297957624,10.00636066,,,
"Oscar Tshiebwe",24,"IND","PF",8,42,3.909561034,0.628433621,4.537994656,0.168785976,0.20353603,,,
"Nate Hinton",24,"HOU","SG",11,58,2.91139324,1.625331759,4.536725,0.231599664,0.283450335,,,
"Jonathan Isaac",26,"ORL","PF",46,695,-0.724943297,4.997311451,4.272368155,2.674319286,3.273047485,,,
"Paul George",33,"LAC","PF",60,2049,2.90306399,1.235233508,4.14,7.76298143,9.644916323,,,
"Tari Eason",22,"HOU","PF",22,480,-0.813076324,4.909300003,4.096223679,1.795838435,2.197891816,,,
"James Johnson",36,"IND","PF",6,32,-2.054891158,6.085817778,4.03092662,0.119267005,0.143821976,,,
"Jalen Brunson",27,"NYK","PG",62,2182,4.613613844,-0.716707888,3.896905956,7.976537989,9.762330076,,,
"Lauri Markkanen",26,"UTA","PF",51,1677,4.435552894,-0.545001174,3.89055172,6.077076892,7.437616495,,,
"Trey Murphy III",23,"NOP","SF",42,1153,2.8315951,1.011726305,3.843321404,4.172842664,5.107061171,,,
"Jaylen Brown",27,"BOS","SF",60,2004,3.448115687,0.206521816,3.654637503,6.99102359,8.685817187,,,
"Kevin Durant",35,"PHO","PF",60,2234,3.481636437,0.170833187,3.652469623,7.803568216,9.550635727,,,
"Kristaps Porziņģis",28,"BOS","C",46,1370,2.727752386,0.921,3.648938724,4.774830835,5.932365583,,,
"Anthony Davis",30,"LAL","C",64,2276,2.148172222,1.367842809,3.516015032,7.761387366,9.359320059,,,
"Devin Booker",27,"PHO","PG",53,1900,4.393713461,-0.969979864,3.423733597,6.388097777,7.818268922,,,
"Terquavion Smith",21,"PHI","PG",12,69,2.34311505,1.043029325,3.386144375,0.231218645,0.282984013,,,
"Jordan McLaughlin",27,"MIN","PG",41,393,0.15469401,3.212521167,3.367215177,1.306594065,1.599115124,,,
"Franz Wagner",22,"ORL","SF",59,1943,2.424398875,0.928179113,3.352577988,6.453528875,7.898348773,,,
"Moussa Diabaté",22,"LAC","C",11,64,2.964350547,0.349338543,3.31368909,0.212124793,0.263548985,,,
