,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
1,Nikola Jokic'22-'23,Nuggets,C,"3,112",9,4.3,13.3,9.4,0.3,9.7,9.5,3.7,13.2,25.9
2,Joel Embiid'22-'23,76ers,C,"2,620",4,4,7.9,2.1,3.7,5.8,3.7,4.1,7.8,14.2
3,Jimmy Butler'22-'23,Heat,"SG, SF","3,012",6.4,1.3,7.7,0.2,-1.8,-1.6,5.5,0.7,6.2,13.8
4,Luka Doncic'22-'23,Mavericks,"PG, SG, SF","2,391",8.9,-0.3,8.5,3.7,-0.9,2.7,8.3,-0.4,7.8,13
5,Anthony Davis'22-'23,Lakers,"PF, C","2,512",2.4,4.7,7.1,2.2,3.5,5.7,2.5,4.7,7.2,12.9
6,Jayson Tatum'22-'23,Celtics,SF,"3,531",4.3,-0.3,3.9,4.6,-0.1,4.5,4.5,-0.3,4.2,12.6
7,Stephen Curry'22-'23,Warriors,PG,"2,434",7.3,-1.4,6,6,0.1,6.1,7.5,-1.2,6.3,11.5
7,Damian Lillard'22-'23,Trail Blazers,PG,"2,107",9.4,-1.5,8,5.7,-1.2,4.5,9.3,-1.5,7.8,11.5
9,Jalen Brunson'22-'23,Knicks,PG,"2,822",5.1,0.2,5.3,6.7,-5.3,1.4,5.7,-1,4.8,10.9
10,Derrick White'22-'23,Celtics,"PG, SG","2,912",1.7,2.6,4.2,2.7,1.8,4.4,1.9,2.5,4.4,10.7
11,Jrue Holiday'22-'23,Bucks,"PG, SG","2,374",2.9,1.8,4.7,5.4,3.1,8.5,3.6,2.1,5.7,10.3
12,Donovan Mitchell'22-'23,Cavaliers,"PG, SG","2,639",6.2,-1.1,5.1,2.9,-0.9,2,5.8,-1.1,4.7,10.1
13,Devin Booker'22-'23,Suns,SG,"2,294",5.6,0,5.6,6.1,-1.9,4.2,6,-0.4,5.6,10
13,Kyrie Irving'22-'23,Mavericks,PG,"2,241",5.7,0.4,6.1,3.8,0,3.8,5.6,0.4,6,10
13,Fred VanVleet'22-'23,Raptors,SG,"2,535",3.7,1.3,5,3.3,0.4,3.7,3.8,1.2,5,10
16,Shai Gilgeous-Alexander'22-'23,Thunder,"PG, SG, SF","2,416",5.4,0,5.4,2,0.9,2.9,5,0.2,5.2,9.9
17,James Harden'22-'23,76ers,"PG, SG","2,562",5.4,0.5,5.9,1.3,-2,-0.7,4.8,0,4.8,9.8
17,Trae Young'22-'23,Hawks,PG,"2,771",5.8,-1,4.7,-0.1,-0.3,-0.4,4.9,-0.9,3.9,9.8
19,Darius Garland'22-'23,Cavaliers,PG,"2,636",3.4,0.8,4.1,3.5,0.4,3.9,3.6,0.7,4.2,9.4
19,LeBron James'22-'23,Lakers,"PG, SF, PF","2,573",4.1,-0.2,3.8,3.7,1.3,5,4.3,0,4.3,9.4
21,Jamal Murray'22-'23,Nuggets,"PG, SG","2,932",3.6,-0.3,3.4,2.7,0,2.7,3.6,-0.2,3.3,9.3
22,Austin Reaves'22-'23,Lakers,"PG, SG, SF","2,422",2.8,1.1,4,3.1,2.9,6,3,1.6,4.6,9.2
23,Brook Lopez'22-'23,Bucks,C,"2,555",-1,4.8,3.8,0.6,4.2,4.8,-0.7,5,4.2,9.1
24,Ja Morant'22-'23,Grizzlies,PG,"2,135",5.2,0.5,5.7,0.4,2.7,3.1,4.5,1,5.5,9
25,Giannis Antetokounmpo'22-'23,Bucks,"SF, PF, C","2,115",3.4,1.9,5.3,2.6,1.8,4.5,3.4,2,5.4,8.9
26,Kawhi Leonard'22-'23,Clippers,"SG, SF","1,828",4.6,1.7,6.3,4.9,1.9,6.8,4.9,1.9,6.8,8.8
27,Kevin Durant'22-'23,Suns,"SF, PF","2,138",4.5,-0.2,4.3,4.9,1.5,6.5,4.8,0.2,5,8.6
28,Lauri Markkanen'22-'23,Jazz,"SF, PF","2,273",3.6,0.5,4,2.3,2.8,5.1,3.5,1,4.5,8.5
29,Domantas Sabonis'22-'23,Kings,"PF, C","2,979",2.2,1.1,3.3,3.2,-3.2,0,2.5,0.3,2.8,8.4
30,Tyrese Haliburton'22-'23,Pacers,"PG, SG","1,883",6.8,-1.2,5.7,5.1,-0.2,4.9,6.9,-1,5.9,8.3
31,Kristaps Porzingis'22-'23,Wizards,"PF, C","2,120",2.8,2,4.8,3.6,-0.3,3.3,3.1,1.7,4.8,8.2
32,Anthony Edwards'22-'23,Timberwolves,"SG, SF","3,041",1.6,0.1,1.7,3.2,1.1,4.3,2,0.3,2.3,8
33,Josh Hart'22-'23,Knicks,SF,"2,807",0.5,1.4,1.8,4.2,1.7,5.8,1.2,1.6,2.8,7.9
34,Immanuel Quickley'22-'23,Knicks,PG,"2,519",1.9,0.7,2.6,-3,8.4,5.5,1,2.4,3.4,7.8
35,Aaron Gordon'22-'23,Nuggets,PF,"2,768",0.7,0.3,1,6.3,2.9,9.1,1.8,0.8,2.7,7.7
35,Kevon Looney'22-'23,Warriors,"PF, C","2,283",0.5,3.2,3.7,3.9,-0.2,3.7,1.2,2.7,3.9,7.7
37,Paul George'22-'23,Clippers,"SG, SF","1,939",2.7,1.7,4.4,3.6,1.3,5,3.1,1.7,4.8,7.5
38,DeMar DeRozan'22-'23,Bulls,"SG, SF, PF","2,682",2.6,0,2.6,0.1,2.2,2.3,2.2,0.4,2.6,7.4
38,Draymond Green'22-'23,Warriors,PF,"2,664",-1.9,3.4,1.5,3.1,3.1,6.2,-1,3.5,2.6,7.4
40,De'Aaron Fox'22-'23,Kings,PG,"2,705",4.5,-1.3,3.1,3.4,-3.8,-0.4,4.4,-1.9,2.5,7.3
